,city,lat,temp_max,lon,humidity,clouds,wind,country,dt
84,cururupu,-1.8283,30.14,-44.8683,59,14,3.14,BR,1629380626
85,longyearbyen,78.2186,5.91,15.6401,75,75,3.09,SJ,1629380296
86,barrow,71.2906,2.01,-156.7887,87,90,4.63,US,1629380266
87,porto novo,6.4965,28.9,2.6036,70,100,2.24,BJ,1629380626
88,benemerito de las americas,16.5167,26.61,-90.6439,69,74,0.67,MX,1629380627
89,talnakh,69.4865,8.26,88.3972,70,99,2.6,RU,1629380293
90,east london,-33.0153,15.52,27.9116,72,40,8.23,ZA,1629380259
91,labuhan,-6.8844,25.61,112.2051,74,100,4.21,ID,1629380359
92,khani,41.9563,23.76,42.9566,79,56,2.21,GE,1629380330
93,pemangkat,1.1667,24.42,108.9667,92,100,2.73,ID,1629380294
94,beloha,-25.1667,24.19,45.05,48,5,5.27,MG,1629380426
95,kifri,34.6959,41.48,44.9661,10,0,5.26,IQ,1629380628
96,saldanha,-33.0117,17.03,17.9442,70,6,7.69,ZA,1629380459
97,wiarton,44.7407,26.89,-81.1332,100,40,1.03,CA,1629380629
98,warrington,53.3925,20.48,-2.5802,85,75,0.45,GB,1629380603
99,ilulissat,69.2167,11.01,-51.1,62,75,3.09,GL,1629380496
100,salekhard,66.53,14.59,66.6019,53,29,1.19,RU,1629380629
101,berbera,10.4396,34.6,45.0143,46,85,3.98,SO,1629380630
102,caravelas,-17.7125,25.39,-39.2481,54,84,3.63,BR,1629380464
103,chunskiy,56.0815,17.61,99.6342,55,99,0.61,RU,1629380390
104,poum,-20.2333,22.11,164.0167,81,60,5.75,NC,1629380630
105,boysun,38.2061,26.18,67.1986,20,5,2.01,UZ,1629380631
106,quarai,-30.3875,27.89,-56.4514,42,32,9.42,BR,1629380631
107,sungaipenuh,-2.0833,17.88,101.3833,98,98,0.41,ID,1629380632
108,butaritari,3.0707,28.13,172.7902,76,29,6.06,KI,1629380255
109,talcahuano,-36.7167,10.82,-73.1167,87,40,3.6,CL,1629380632
110,hasaki,35.7333,26.22,140.8333,86,7,9.58,JP,1629380296
111,sarkand,45.41,19.59,79.9186,57,58,1.68,KZ,1629380633
112,viedma,-40.8135,14.98,-62.9967,38,100,6.98,AR,1629380361
113,comarapa,-17.9,19.69,-64.4833,46,0,3.53,BO,1629380454
114,sakakah,29.9697,40.76,40.2064,9,0,0.57,SA,1629380463
115,vila franca do campo,37.7167,25.23,-25.4333,70,84,4.9,PT,1629380294
116,skjervoy,70.0311,14.0,20.9714,87,100,5.36,NO,1629380272
117,kholtoson,50.2981,9.45,103.3097,90,7,1.22,RU,1629380633
118,halifax,44.6453,20.56,-63.5724,92,90,0.89,CA,1629380430
119,toora-khem,52.4675,13.12,96.11,71,10,1.38,RU,1629380634
120,bredasdorp,-34.5322,14.62,20.0403,58,69,2.57,ZA,1629380053
121,twentynine palms,34.1356,21.92,-116.0542,48,5,1.4,US,1629380634
122,sobolevo,54.4299,22.07,31.8996,42,4,4.7,RU,1629380635
123,mandalgovi,45.7625,12.84,106.2708,56,1,3.06,MN,1629380635
124,barranca,-10.75,16.97,-77.7667,82,100,2.81,PE,1629380636
125,qazvin,36.2797,34.79,50.0049,16,20,3.09,IR,1629380636
126,tura,25.5198,22.87,90.2201,97,100,3.7,IN,1629380243
127,kaitangata,-46.2817,4.11,169.8464,91,72,3.75,NZ,1629380401
128,moose factory,51.2585,17.0,-80.6094,82,75,3.09,CA,1629380492
129,kangaatsiaq,68.3065,5.12,-53.4641,99,99,7.01,GL,1629380636
130,la ronge,55.1001,12.14,-105.2842,82,75,2.57,CA,1629380350
131,owando,-0.4819,27.7,15.8999,65,100,2.03,CG,1629380637
